category_title       ,price,characteristic_1,characteristic_2,characteristic_3,characteristic_4,characteristic_5,characteristic_6,characteristic_7,characteristic_8,characteristic_9,characteristic_10,flag
ultrices posuere     ,42   ,$48.81M         ,$24.6B          ,$1.1B           ,$48.4M          ,$36.94M         ,$1.69B          ,$87.57M         ,$99.51M         ,n/a             ,                 ,true
auctor               ,18   ,$3.22B          ,n/a             ,$3.72B          ,$112.53M        ,$2.66B          ,n/a             ,$64.88M         ,$20.13M         ,$143.17M        ,$226.82M         ,false
vel accumsan         ,32   ,$3.22B          ,$1.6B           ,$296.89M        ,$3.1B           ,$1.97B          ,$4.64B          ,$4.28B          ,n/a             ,$4.97B          ,n/a              ,false
elementum            ,12   ,n/a             ,$41.27B         ,n/a             ,n/a             ,$189.21M        ,n/a             ,$873.82M        ,$171.11M        ,n/a             ,$85.86M          ,false
amet eros            ,63   ,$882.65M        ,$301.17M        ,$187.28M        ,$1.33B          ,$219.73M        ,$1.6B           ,$5.07B          ,n/a             ,n/a             ,$534.86M         ,false
dis                  ,29   ,n/a             ,$185.53B        ,$362.86M        ,$60.36M         ,$321.8M         ,$461.95M        ,$64.89M         ,n/a             ,$10.8B          ,$84.93M          ,false
porttitor            ,60   ,$1.15B          ,$39.94M         ,$35.5M          ,$474.65M        ,n/a             ,$3.97B          ,$134.47M        ,$106.79M        ,$1.71B          ,$6B              ,false
diam                 ,93   ,$220.8M         ,$1.49B          ,$645.41M        ,$188.59M        ,$1.67B          ,$1.71B          ,$21.95B         ,n/a             ,$2.91M          ,$751.86M         ,false
aliquam non          ,69   ,n/a             ,$13.76B         ,$437.24M        ,$21.83B         ,$575.54M        ,$8.75B          ,$88.91M         ,n/a             ,n/a             ,$123.2M          ,true
dapibus              ,44   ,$26.5B          ,$177.4M         ,$126.29M        ,$940.53M        ,$7.44B          ,n/a             ,$12.26M         ,$1.39B          ,$729.05M        ,n/a              ,true
arcu                 ,10   ,$1.72B          ,n/a             ,$858.82M        ,n/a             ,$5.75B          ,n/a             ,$18.74B         ,$471M           ,$8.29B          ,$346.48M         ,true
sed                  ,11   ,$99.71M         ,$1.75B          ,$17.43B         ,$6.79M          ,$2.09B          ,$7.6B           ,$40.16M         ,$18.74B         ,n/a             ,$4.35B           ,true
odio                 ,32   ,$13.65B         ,$3.17B          ,$970.48M        ,n/a             ,$1.21B          ,n/a             ,$1.31B          ,$256.36M        ,$105.89M        ,$2.34B           ,true
ipsum primis         ,95   ,$12.97B         ,$37.35B         ,$22.46M         ,$1.37B          ,n/a             ,$121.6M         ,$3.73B          ,n/a             ,$320.19M        ,$2.35B           ,true
tortor               ,61   ,$1.39B          ,$3.27B          ,n/a             ,$1.21B          ,$6.01B          ,n/a             ,$655.78M        ,$175.26M        ,$3.17B          ,$1.28B           ,true
sagittis             ,87   ,$11.94B         ,n/a             ,$27.17B         ,$221.78M        ,$8.55B          ,$618.24M        ,$32.63M         ,n/a             ,$1.41B          ,$9.06B           ,true
etiam                ,69   ,$1.8B           ,$164.16M        ,$864.67M        ,n/a             ,$356.57M        ,$150.68M        ,$315.63M        ,n/a             ,$26.03M         ,$20.66M          ,false
eu                   ,84   ,$375.08M        ,$128.8M         ,$437.4M         ,n/a             ,$551.95M        ,$1B             ,n/a             ,$585.08M        ,$498.3M         ,n/a              ,true
tincidunt eu         ,5    ,$59.41M         ,$599.33M        ,$132.03M        ,$322.51M        ,$589.55M        ,$22.07B         ,n/a             ,$4.12B          ,$239.53B        ,$269.58M         ,false
facilisi             ,71   ,n/a             ,n/a             ,$956.82M        ,n/a             ,$61.01B         ,$519.54M        ,$2.89B          ,$58.64B         ,$127.38M        ,$8.13B           ,true
vestibulum           ,14   ,$3.68B          ,$351M           ,$1.85B          ,$2.97M          ,$112.63M        ,$531.54M        ,$164.26M        ,$1.89B          ,$305.43M        ,$422.69M         ,false
aliquet massa        ,86   ,n/a             ,$52.03M         ,$947.69M        ,$5.07B          ,$1.56B          ,$14.31B         ,$9.56B          ,$844.88M        ,$2.55B          ,$8.15B           ,false
ligula               ,53   ,$2.09B          ,$2.62B          ,$457.29M        ,$1.11B          ,$237.15M        ,$1.2B           ,$322.34M        ,$1.07B          ,$858.82M        ,$3.17B           ,false
eleifend quam        ,3    ,$13.28B         ,$63.39B         ,$409.22M        ,$65.48M         ,$45.01M         ,$263.7M         ,$1.97B          ,n/a             ,$911.47M        ,$4.6B            ,true
quis libero          ,84   ,$57.72M         ,n/a             ,$847.91M        ,$332.81M        ,$652.54M        ,$7.53B          ,$198.29M        ,$488.08M        ,$3.96B          ,$26.42B          ,true
turpis adipiscing    ,76   ,$9.04B          ,$70.59M         ,$9.61B          ,$4.04B          ,$2.89B          ,n/a             ,$9.04B          ,n/a             ,$1.51B          ,$358.5M          ,true
in sagittis          ,96   ,$3.2B           ,$582.59M        ,$268.02M        ,$5.07B          ,$10.31M         ,$13B            ,$931.89M        ,$2.12B          ,n/a             ,                 ,false
nascetur             ,17   ,$14.65M         ,$380.76M        ,$37.35B         ,$2.89B          ,$116.38B        ,$439.76M        ,$3.33B          ,n/a             ,$330.28M        ,$274.06M         ,false
proin                ,89   ,$2.92B          ,$13.08M         ,$21.82B         ,$266.9M         ,$226.45M        ,$5.5B           ,$990.02M        ,$1.59B          ,$699.62M        ,                 ,true
congue vivamus       ,52   ,$1.05B          ,n/a             ,$23.69B         ,$16.7B          ,$690.93M        ,$11.89M         ,$2.08B          ,n/a             ,n/a             ,$283.98M         ,true
in                   ,21   ,$187.27B        ,$893.84M        ,$83.95B         ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,$884.58M        ,$6.92M           ,false
ultrices             ,70   ,$12M            ,$1.46B          ,$324.79M        ,$103.88M        ,$370.68M        ,$33.78M         ,$119.06M        ,$356.04M        ,$13.23B         ,$3.5B            ,false
potenti cras         ,59   ,$270.26M        ,$52.45B         ,$296.89M        ,$10.76B         ,$1.17B          ,                ,$340.68M        ,$129.45M        ,n/a             ,n/a              ,true
libero               ,27   ,$2.86B          ,$102.63B        ,n/a             ,$14.72B         ,$30.33B         ,$12.81M         ,n/a             ,$589.55M        ,$49.34M         ,$89.69M          ,false
egestas              ,26   ,n/a             ,$26.78B         ,n/a             ,$298.66M        ,$1.17B          ,$1.4B           ,$8.17B          ,$7.97B          ,$474.83M        ,$54.22B          ,false
facilisi             ,79   ,$49.34M         ,$37.85B         ,$255.93M        ,$54.41B         ,n/a             ,$6.05B          ,$16.68B         ,$61.78M         ,$927.6M         ,$203.62M         ,false
nec euismod          ,74   ,$8.29B          ,n/a             ,$16.12M         ,$34.43B         ,n/a             ,n/a             ,$341.22B        ,$37.92B         ,n/a             ,$234.72M         ,true
nascetur             ,88   ,$952.64M        ,$3.9B           ,$20.95M         ,$1.77B          ,n/a             ,$811.57M        ,$10.99M         ,n/a             ,$2.13B          ,$55.73B          ,true
vitae                ,75   ,$8.25B          ,$1.34B          ,n/a             ,$63.46M         ,$5.04B          ,$1.16B          ,$271.31M        ,$2.34B          ,$401.18M        ,$42.31M          ,false
sed                  ,82   ,$2.86B          ,$213.58M        ,$66.96M         ,n/a             ,$1.71B          ,$17.94B         ,$17.47B         ,n/a             ,$102.18M        ,$1.21B           ,true
odio cras            ,29   ,$14.98B         ,$574.74M        ,n/a             ,$1.63B          ,$299.64M        ,                ,$1.55B          ,$2.35B          ,$201.19M        ,$76.04M          ,true
vivamus vestibulum   ,28   ,n/a             ,$650.38M        ,$10.63B         ,$472.51M        ,$2.81B          ,$33.54M         ,$8.61M          ,$21.82B         ,$468.65M        ,$1.18B           ,false
ac                   ,24   ,$51.73B         ,$725.48M        ,$13.37M         ,$332.53M        ,$1.97B          ,                ,$1.26B          ,$2B             ,$361.92B        ,n/a              ,false
rutrum nulla         ,55   ,$513.58M        ,n/a             ,n/a             ,n/a             ,$122.37M        ,$1.25B          ,$117.97M        ,n/a             ,$2.62B          ,$1.05B           ,true
leo maecenas         ,14   ,n/a             ,$790.66M        ,$384.67M        ,$145.96M        ,$1.74B          ,n/a             ,$5.07B          ,$76.73B         ,$5.85B          ,$13.14B          ,true
vestibulum sagittis  ,60   ,$53.85M         ,$89.35M         ,$4.88B          ,$172.25M        ,$2.17B          ,$9.54M          ,$8.05B          ,$14.37B         ,n/a             ,$122.37M         ,true
luctus               ,14   ,$772.65M        ,$2.92B          ,$9.01B          ,$21.6M          ,$187.53M        ,$570.42M        ,$18.63B         ,$2.93B          ,$9.64B          ,$343.54M         ,false
ut volutpat          ,5    ,$1.65B          ,$186.14M        ,n/a             ,$11.67B         ,$933.63M        ,$708.87M        ,n/a             ,$738.12M        ,n/a             ,$383.03M         ,false
sapien               ,89   ,$367M           ,$22.77B         ,$2.79B          ,$1.01B          ,n/a             ,n/a             ,$803.43M        ,$99.14M         ,$206.03M        ,$13.13B          ,false
in congue            ,76   ,$103.88M        ,$142.71M        ,n/a             ,n/a             ,$68.19B         ,n/a             ,$129.88M        ,$189.19M        ,$29.11M         ,                 ,true
nulla                ,9    ,$1.22B          ,$29.72M         ,$6.83B          ,$1.21B          ,$7.44B          ,n/a             ,n/a             ,$2.9B           ,$10.72M         ,n/a              ,false
tortor duis          ,83   ,n/a             ,$277.95M        ,n/a             ,$3.33B          ,$10.41B         ,$907.72M        ,$21.8M          ,$356.99M        ,$257.87M        ,$2.34B           ,false
pulvinar lobortis    ,81   ,$7.71M          ,n/a             ,$563.71M        ,$2.76B          ,$33.54M         ,$176.6M         ,$24.77M         ,n/a             ,$22.24M         ,$1.33B           ,true
amet cursus          ,79   ,$85.51M         ,$2.64B          ,$893.94M        ,$87.97B         ,$688.3M         ,$2.32M          ,$4.21B          ,$99.64M         ,$6.02B          ,$53.4B           ,false
aliquam augue        ,23   ,$967.2M         ,n/a             ,$53.7M          ,$26.92M         ,$6.45B          ,$370.12M        ,$1.78B          ,$1.01B          ,n/a             ,                 ,false
integer              ,27   ,$110.06M        ,$54.29M         ,n/a             ,$497.06M        ,$2.09B          ,n/a             ,$153.66M        ,$12.91B         ,$591.49M        ,$1.07B           ,true
quis tortor          ,23   ,$59.59M         ,$59.59M         ,$535.68M        ,$685.28M        ,$175.03B        ,n/a             ,$774.83M        ,$298.04M        ,n/a             ,n/a              ,false
venenatis non        ,76   ,$269.31B        ,$1.24B          ,$565.52M        ,$439.76M        ,$16.85B         ,n/a             ,$55.25M         ,$392.94M        ,$117.97M        ,$266.19M         ,false
mattis               ,90   ,$9.21B          ,$890M           ,$415.87M        ,$102.3M         ,$403.3M         ,$2.79B          ,$76.6B          ,$68.19B         ,$2.82B          ,$858.79M         ,false
sit                  ,59   ,$4.01B          ,$696.39M        ,$323.86M        ,$299.64M        ,$136.89M        ,$34.75B         ,$19.65M         ,$8.83M          ,$534.63M        ,$10.2B           ,false
sed ante             ,60   ,$1.68B          ,$412.44M        ,$542.39M        ,$279.5M         ,$2.72B          ,$1.39B          ,$234.15M        ,$4.32B          ,$3.77B          ,$84.33M          ,true
sapien cum           ,52   ,$696.39M        ,$54.28M         ,$19.65M         ,$2.15B          ,$176.92M        ,$8.14B          ,$10.14B         ,$11.29M         ,$563.71M        ,                 ,false
magnis dis           ,93   ,$10.06B         ,$51.95B         ,$7.79B          ,$281.36M        ,$136.87M        ,$237.5M         ,$91.14M         ,n/a             ,$717.59M        ,n/a              ,false
ultricies            ,57   ,$548.36M        ,$12.26M         ,$2.88B          ,$120.57B        ,$130.02M        ,$855.22M        ,$1.54B          ,$70.59M         ,$842.24M        ,$54.78M          ,false
in faucibus          ,17   ,$642.98M        ,$3.16B          ,n/a             ,$193.55M        ,n/a             ,$24.17B         ,$206.36M        ,n/a             ,$605.33M        ,$177.98M         ,false
platea               ,67   ,$717.08M        ,$255.79M        ,n/a             ,$276.34M        ,$10.19B         ,$893.84M        ,$103.48B        ,$39.09M         ,$3.65B          ,n/a              ,false
